Classificação_Lucro;Auditoria_De_Frete;Verificação_De_Entrega;Comissões;Classificação_Demográfica
Alta Lucratividade;Frete OK;23;490,048;Adulto
Lucratividade Normal;Frete OK;13;505,2;Adulto
Lucratividade Normal;Frete OK;11;122,36;Adulto
Lucratividade Normal;Frete OK;Pendente;207,613;Adulto
Lucratividade Normal;Frete OK;11;109,908;Adulto
Lucratividade Normal;Frete OK;18;172,4;Adulto
Alta Lucratividade;Frete OK;Pendente;452,016;Adulto
Lucratividade Normal;Frete OK;Pendente;304,65;Adulto
Lucratividade Normal;Frete OK;5;113,392;Adulto
Alta Lucratividade;Frete OK;Pendente;250,019;Adulto
Lucratividade Normal;Frete OK;Pendente;77,577;Adulto
Alta Lucratividade;Frete OK;5;322,704;Adulto
Lucratividade Normal;Frete OK;Pendente;92,664;Jovem
Alta Lucratividade;Frete OK;17;1568,7;Adulto
Alta Lucratividade;Frete OK;18;529,91;Adulto
Alta Lucratividade;Frete OK;25;300,312;Jovem
Alta Lucratividade;Frete OK;7;479,628;Adulto
Lucratividade Normal;Frete OK;Pendente;271,95;Adulto
Lucratividade Normal;Frete OK;Pendente;70,312;Adulto
Alta Lucratividade;Frete OK;Pendente;825,759;Adulto
Lucratividade Normal;Frete OK;Pendente;317,16;Adulto
Lucratividade Normal;Frete OK;8;116,55;Adulto
Lucratividade Normal;Frete OK;Pendente;231,66;Adulto
Lucratividade Normal;Frete OK;15;199,359;Adulto
Lucratividade Normal;Frete OK;Pendente;153,153;Jovem
Lucratividade Normal;Frete OK;Pendente;101,004;Adulto
Alta Lucratividade;Frete OK;3;652,688;Jovem
Lucratividade Normal;Frete OK;Pendente;138,618;Adulto
Lucratividade Normal;Frete OK;Pendente;457,45;Adulto
Alta Lucratividade;Frete OK;9;340,195;Adulto
Alta Lucratividade;Frete OK;11;265,194;Adulto
Alta Lucratividade;Frete OK;10;824,22;Adulto
Lucratividade Normal;Frete OK;Pendente;64,866;Adulto
Alta Lucratividade;Frete OK;Pendente;439,698;Adulto
Alta Lucratividade;Frete OK;11;479,451;Jovem
Alta Lucratividade;Frete OK;Pendente;989,6;Adulto
Lucratividade Normal;Frete OK;Pendente;177,93;Adulto
Alta Lucratividade;Frete OK;25;1282,5;Jovem
Lucratividade Normal;Frete OK;18;275,443;Adulto
Alta Lucratividade;Frete OK;Pendente;640,98;Adulto
Lucratividade Normal;Frete OK;Pendente;284,472;Adulto
Lucratividade Normal;Frete OK;13;201,4;Adulto
Lucratividade Normal;Frete OK;Pendente;126,252;Jovem
Lucratividade Normal;Auditar Frete;9;33,174;Adulto
Alta Lucratividade;Frete OK;6;321,174;Adulto
Alta Lucratividade;Frete OK;2;451,098;Adulto
Lucratividade Normal;Frete OK;Pendente;136,15;Adulto
Lucratividade Normal;Frete OK;Pendente;156,276;Adulto
Lucratividade Normal;Frete OK;Pendente;111,618;Adulto
Lucratividade Normal;Frete OK;Pendente;240,992;Adulto
Alta Lucratividade;Frete OK;Pendente;278,568;Adulto
Lucratividade Normal;Frete OK;3;208,656;Adulto
Alta Lucratividade;Frete OK;Pendente;850;Adulto
Alta Lucratividade;Frete OK;Pendente;2209,05;Adulto
Lucratividade Normal;Frete OK;2;140,42;Adulto
Lucratividade Normal;Frete OK;Pendente;238,544;Adulto
Lucratividade Normal;Frete OK;2;107,661;Jovem
Alta Lucratividade;Frete OK;2;699,55;Adulto
Alta Lucratividade;Frete OK;Pendente;431,775;Adulto
Lucratividade Normal;Auditar Frete;14;54,944;Adulto
Alta Lucratividade;Frete OK;Pendente;385,92;Adulto
Lucratividade Normal;Frete OK;11;165,744;Adulto
Lucratividade Normal;Auditar Frete;14;6,579;Adulto
Alta Lucratividade;Frete OK;5;686,28;Adulto
Alta Lucratividade;Frete OK;Pendente;372,628;Jovem
Lucratividade Normal;Frete OK;25;302,1;Jovem
Lucratividade Normal;Frete OK;Pendente;142,256;Adulto
Alta Lucratividade;Frete OK;18;488,34;Adulto
Alta Lucratividade;Frete OK;3;1693,65;Adulto
Alta Lucratividade;Frete OK;17;379,088;Adulto
Lucratividade Normal;Frete OK;14;87,4;Adulto
Lucratividade Normal;Frete OK;13;159,12;Adulto
Lucratividade Normal;Frete OK;Pendente;166,212;Adulto
Lucratividade Normal;Auditar Frete;24;37,4;Adulto
Lucratividade Normal;Frete OK;Pendente;172,9;Jovem
Alta Lucratividade;Frete OK;18;351,728;Adulto
Lucratividade Normal;Frete OK;5;48,816;Adulto
Alta Lucratividade;Frete OK;5;1128,3;Jovem
Alta Lucratividade;Frete OK;4;498,5;Adulto
Lucratividade Normal;Frete OK;Pendente;158,436;Adulto
Alta Lucratividade;Frete OK;Pendente;562,058;Adulto
Lucratividade Normal;Auditar Frete;Pendente;64,55;Jovem
Lucratividade Normal;Auditar Frete;Pendente;26,144;Jovem
Lucratividade Normal;Frete OK;Pendente;417,4;Adulto
Alta Lucratividade;Frete OK;Pendente;235,875;Adulto
Lucratividade Normal;Auditar Frete;Pendente;18,921;Adulto
Lucratividade Normal;Frete OK;Pendente;34,5;Adulto
Lucratividade Normal;Frete OK;Pendente;159,392;Jovem
Lucratividade Normal;Auditar Frete;Pendente;38,862;Adulto
Lucratividade Normal;Auditar Frete;13;14,668;Adulto
Alta Lucratividade;Frete OK;3;1455;Adulto
Alta Lucratividade;Frete OK;Pendente;241,74;Adulto
Lucratividade Normal;Frete OK;17;47,215;Jovem
Alta Lucratividade;Frete OK;Pendente;487,242;Jovem
Lucratividade Normal;Frete OK;13;298,8;Adulto
Alta Lucratividade;Frete OK;Pendente;313,684;Adulto
Lucratividade Normal;Frete OK;Pendente;224,64;Jovem
Lucratividade Normal;Frete OK;3;243,5;Adulto
Lucratividade Normal;Frete OK;20;140,114;Adulto
Alta Lucratividade;Frete OK;Pendente;946,05;Jovem
Alta Lucratividade;Frete OK;Pendente;759,456;Adulto
Alta Lucratividade;Frete OK;Pendente;598,06;Jovem
Lucratividade Normal;Auditar Frete;5;41,735;Jovem
Alta Lucratividade;Frete OK;Pendente;373,768;Adulto
Alta Lucratividade;Frete OK;21;435,575;Adulto
Lucratividade Normal;Frete OK;Pendente;174,8;Adulto
Lucratividade Normal;Auditar Frete;Pendente;71,859;Adulto
Lucratividade Normal;Frete OK;12;102,306;Adulto
Alta Lucratividade;Frete OK;12;406,3;Adulto
Lucratividade Normal;Auditar Frete;5;31,445;Adulto
Alta Lucratividade;Frete OK;6;624,967;Adulto
Alta Lucratividade;Frete OK;4;1200;Adulto
Lucratividade Normal;Frete OK;12;278,37;Adulto
Lucratividade Normal;Frete OK;21;43,092;Adulto
Lucratividade Normal;Frete OK;Pendente;202,768;Adulto
Alta Lucratividade;Frete OK;Pendente;715,878;Adulto
Alta Lucratividade;Frete OK;13;354,046;Adulto
Alta Lucratividade;Frete OK;Pendente;229,482;Adulto
Lucratividade Normal;Frete OK;Pendente;82,518;Jovem
Alta Lucratividade;Frete OK;Pendente;458,983;Adulto
Alta Lucratividade;Frete OK;2;761,6;Adulto
Lucratividade Normal;Frete OK;Pendente;92,6;Adulto
Lucratividade Normal;Frete OK;Pendente;237,711;Adulto
Alta Lucratividade;Frete OK;Pendente;569;Jovem
Alta Lucratividade;Frete OK;Pendente;413,1;Adulto
Lucratividade Normal;Auditar Frete;Pendente;27,166;Jovem
Lucratividade Normal;Frete OK;Pendente;42,33;Adulto
Lucratividade Normal;Frete OK;Pendente;49,062;Adulto
Lucratividade Normal;Frete OK;7;91,143;Adulto
Lucratividade Normal;Frete OK;Pendente;110,52;Adulto
Lucratividade Normal;Frete OK;2;194,67;Adulto
Lucratividade Normal;Frete OK;20;189,658;Jovem
Lucratividade Normal;Frete OK;6;178,128;Adulto
Lucratividade Normal;Frete OK;Pendente;247,65;Adulto
Alta Lucratividade;Frete OK;20;631,476;Adulto
Alta Lucratividade;Frete OK;Pendente;1594,35;Adulto
Lucratividade Normal;Auditar Frete;24;50,354;Adulto
Lucratividade Normal;Frete OK;2;230,2;Adulto
Alta Lucratividade;Frete OK;17;1811,5;Adulto
Lucratividade Normal;Frete OK;20;356,7;Adulto
Lucratividade Normal;Frete OK;Pendente;90,25;Adulto
Alta Lucratividade;Frete OK;25;498,24;Jovem
Alta Lucratividade;Frete OK;23;343,872;Adulto
Lucratividade Normal;Frete OK;6;24,888;Adulto
Lucratividade Normal;Auditar Frete;Pendente;9,197;Adulto
Alta Lucratividade;Frete OK;6;471,504;Adulto
Alta Lucratividade;Frete OK;13;454,024;Adulto
Alta Lucratividade;Frete OK;25;1014,4;Adulto
Lucratividade Normal;Frete OK;Pendente;232,56;Adulto
Lucratividade Normal;Frete OK;22;162,507;Adulto
Alta Lucratividade;Frete OK;18;654,493;Jovem
Lucratividade Normal;Frete OK;16;270,774;Adulto
Lucratividade Normal;Auditar Frete;15;9,656;Adulto
Lucratividade Normal;Frete OK;Pendente;99,36;Adulto
Alta Lucratividade;Frete OK;2;373,95;Adulto
Alta Lucratividade;Frete OK;9;1143,9;Adulto
Alta Lucratividade;Frete OK;25;1119,6;Adulto
Lucratividade Normal;Frete OK;Pendente;60,372;Adulto
Lucratividade Normal;Frete OK;Pendente;159,018;Adulto
Lucratividade Normal;Auditar Frete;Pendente;22,61;Adulto
Alta Lucratividade;Frete OK;Pendente;645,696;Adulto
Lucratividade Normal;Frete OK;25;125,85;Adulto
Lucratividade Normal;Frete OK;8;170,24;Adulto
Lucratividade Normal;Frete OK;Pendente;186,303;Jovem
Lucratividade Normal;Frete OK;Pendente;89,676;Adulto
Lucratividade Normal;Frete OK;Pendente;111,078;Adulto
Lucratividade Normal;Frete OK;Pendente;82,65;Adulto
Alta Lucratividade;Frete OK;Pendente;625,176;Adulto
Alta Lucratividade;Frete OK;Pendente;387,828;Adulto
Lucratividade Normal;Frete OK;20;160,902;Adulto
Lucratividade Normal;Frete OK;22;592,95;Adulto
Alta Lucratividade;Frete OK;20;267,58;Adulto
Alta Lucratividade;Frete OK;19;329,508;Adulto
Lucratividade Normal;Frete OK;7;48,6;Adulto
Lucratividade Normal;Frete OK;9;157,968;Jovem
Lucratividade Normal;Auditar Frete;25;39,78;Adulto
Alta Lucratividade;Frete OK;2;779,38;Adulto
Alta Lucratividade;Frete OK;Pendente;698,7;Adulto
Alta Lucratividade;Frete OK;24;342,342;Adulto
Lucratividade Normal;Frete OK;Pendente;171,152;Jovem
Alta Lucratividade;Frete OK;Pendente;316,8;Adulto
Alta Lucratividade;Frete OK;14;880,5;Jovem
Lucratividade Normal;Frete OK;23;56,126;Adulto
Alta Lucratividade;Frete OK;Pendente;296,856;Adulto
Lucratividade Normal;Frete OK;Pendente;210,256;Adulto
Lucratividade Normal;Frete OK;23;160,992;Adulto
Alta Lucratividade;Frete OK;Pendente;485,488;Adulto
Alta Lucratividade;Frete OK;17;565,326;Adulto
Lucratividade Normal;Frete OK;11;213,636;Adulto
Alta Lucratividade;Frete OK;4;565,624;Jovem
Lucratividade Normal;Frete OK;Pendente;249,05;Adulto
Lucratividade Normal;Auditar Frete;Pendente;30,413;Adulto
Lucratividade Normal;Frete OK;12;83,556;Adulto
Lucratividade Normal;Frete OK;11;176,51;Adulto
Lucratividade Normal;Frete OK;Pendente;129,2;Adulto
Lucratividade Normal;Frete OK;Pendente;89,726;Adulto
Lucratividade Normal;Frete OK;Pendente;60,48;Jovem
Lucratividade Normal;Frete OK;Pendente;81,073;Adulto
Lucratividade Normal;Auditar Frete;10;17,28;Adulto
Alta Lucratividade;Frete OK;4;500,22;Adulto
Lucratividade Normal;Frete OK;24;71,128;Adulto
Alta Lucratividade;Frete OK;24;237,006;Adulto
Lucratividade Normal;Frete OK;Pendente;146,812;Adulto
Lucratividade Normal;Frete OK;Pendente;71,856;Adulto
Alta Lucratividade;Frete OK;9;332,514;Adulto
Alta Lucratividade;Frete OK;6;751,5;Jovem
Lucratividade Normal;Frete OK;Pendente;575,6;Adulto
Lucratividade Normal;Auditar Frete;Pendente;44,95;Adulto
Lucratividade Normal;Frete OK;Pendente;125,37;Adulto
Lucratividade Normal;Frete OK;24;77,976;Jovem
Lucratividade Normal;Auditar Frete;13;13,376;Adulto
Alta Lucratividade;Frete OK;Pendente;418,5;Adulto
Alta Lucratividade;Frete OK;23;499,95;Adulto
Alta Lucratividade;Frete OK;Pendente;1207,8;Adulto
Lucratividade Normal;Frete OK;24;415,8;Adulto
Lucratividade Normal;Frete OK;Pendente;447,9;Adulto
Alta Lucratividade;Frete OK;Pendente;494,53;Adulto
Lucratividade Normal;Frete OK;Pendente;495,261;Jovem
Alta Lucratividade;Frete OK;Pendente;440,724;Adulto
Alta Lucratividade;Frete OK;Pendente;864,5;Adulto
Lucratividade Normal;Frete OK;Pendente;65,132;Adulto
Lucratividade Normal;Auditar Frete;7;31,8;Adulto
Alta Lucratividade;Frete OK;Pendente;252,62;Adulto
Lucratividade Normal;Frete OK;21;71,172;Adulto
Lucratividade Normal;Frete OK;Pendente;55,692;Adulto
Alta Lucratividade;Frete OK;Pendente;840,9;Adulto
Alta Lucratividade;Frete OK;7;720,15;Adulto
Lucratividade Normal;Frete OK;4;99,72;Adulto
Lucratividade Normal;Frete OK;Pendente;147,25;Adulto
Lucratividade Normal;Frete OK;Pendente;79;Adulto
Alta Lucratividade;Frete OK;Pendente;1710;Adulto
Alta Lucratividade;Frete OK;Pendente;283,176;Jovem
Lucratividade Normal;Frete OK;12;240,2;Adulto
Alta Lucratividade;Frete OK;Pendente;927,6;Adulto
Lucratividade Normal;Auditar Frete;15;14,31;Adulto
Alta Lucratividade;Frete OK;25;696,6;Adulto
Alta Lucratividade;Frete OK;21;430,236;Adulto
Alta Lucratividade;Frete OK;Pendente;637,776;Adulto
Lucratividade Normal;Frete OK;5;101,403;Adulto
Alta Lucratividade;Frete OK;12;1282,5;Adulto
Alta Lucratividade;Frete OK;15;395,124;Jovem
Lucratividade Normal;Frete OK;24;225,93;Adulto
Lucratividade Normal;Frete OK;10;424,2;Adulto
Alta Lucratividade;Frete OK;Pendente;539,24;Adulto
Alta Lucratividade;Frete OK;24;776,4;Adulto
Lucratividade Normal;Frete OK;Pendente;68,58;Adulto
Alta Lucratividade;Frete OK;Pendente;290,871;Adulto
Lucratividade Normal;Frete OK;Pendente;135,72;Adulto
Alta Lucratividade;Frete OK;23;858,4;Adulto
Lucratividade Normal;Frete OK;Pendente;360,162;Adulto
Lucratividade Normal;Frete OK;Pendente;176,256;Adulto
Alta Lucratividade;Frete OK;Pendente;307,836;Adulto
Lucratividade Normal;Frete OK;Pendente;47,532;Jovem
Alta Lucratividade;Frete OK;Pendente;356,66;Adulto
Alta Lucratividade;Frete OK;2;617,652;Jovem
Lucratividade Normal;Frete OK;Pendente;250,128;Adulto
Alta Lucratividade;Frete OK;20;419,94;Adulto
Alta Lucratividade;Frete OK;Pendente;1461;Adulto
Lucratividade Normal;Frete OK;20;272,408;Adulto
Lucratividade Normal;Frete OK;Pendente;42,484;Jovem
Lucratividade Normal;Auditar Frete;11;2,38;Adulto
Lucratividade Normal;Frete OK;12;60,265;Adulto
Lucratividade Normal;Auditar Frete;7;24,768;Jovem
Alta Lucratividade;Frete OK;6;541,6;Adulto
Lucratividade Normal;Frete OK;Pendente;87,822;Jovem
Alta Lucratividade;Frete OK;22;1911,5;Adulto
Alta Lucratividade;Frete OK;20;690,88;Adulto
Lucratividade Normal;Frete OK;Pendente;134,4;Jovem
Alta Lucratividade;Frete OK;Pendente;731,268;Adulto
Alta Lucratividade;Frete OK;10;1906;Adulto
Lucratividade Normal;Frete OK;Pendente;507,5;Adulto
Lucratividade Normal;Frete OK;Pendente;89,8;Adulto
Alta Lucratividade;Frete OK;Pendente;508,914;Jovem
Lucratividade Normal;Frete OK;3;280,84;Adulto
Alta Lucratividade;Frete OK;25;327,76;Jovem
Lucratividade Normal;Frete OK;Pendente;180,576;Adulto
Alta Lucratividade;Frete OK;Pendente;338,31;Adulto
Lucratividade Normal;Frete OK;Pendente;123;Adulto
Lucratividade Normal;Frete OK;Pendente;148,827;Adulto
Alta Lucratividade;Frete OK;Pendente;467,424;Adulto
Alta Lucratividade;Frete OK;16;605,718;Adulto
Alta Lucratividade;Frete OK;Pendente;720,45;Adulto
Lucratividade Normal;Frete OK;17;96,558;Adulto
Lucratividade Normal;Frete OK;11;132,651;Adulto
Lucratividade Normal;Frete OK;Pendente;62,964;Adulto
Lucratividade Normal;Frete OK;11;193,2;Adulto
Lucratividade Normal;Frete OK;8;175,8;Adulto
Alta Lucratividade;Frete OK;18;1365,5;Adulto
Lucratividade Normal;Frete OK;Pendente;145,616;Adulto
Alta Lucratividade;Frete OK;Pendente;456;Adulto
Lucratividade Normal;Frete OK;Pendente;233,28;Adulto
Lucratividade Normal;Frete OK;Pendente;43,776;Adulto
Alta Lucratividade;Frete OK;7;1681,5;Adulto
Alta Lucratividade;Frete OK;Pendente;309,834;Adulto
Lucratividade Normal;Auditar Frete;Pendente;22,896;Adulto
Alta Lucratividade;Frete OK;Pendente;612,846;Adulto
Lucratividade Normal;Frete OK;Pendente;167,979;Adulto
Alta Lucratividade;Frete OK;Pendente;454,29;Adulto
Alta Lucratividade;Frete OK;Pendente;259,182;Adulto
Lucratividade Normal;Auditar Frete;18;40,46;Adulto
Lucratividade Normal;Frete OK;22;131,22;Adulto
Alta Lucratividade;Frete OK;24;254,885;Jovem
Alta Lucratividade;Frete OK;5;562,552;Adulto
Alta Lucratividade;Frete OK;6;800;Adulto
Alta Lucratividade;Frete OK;20;346,086;Adulto
Lucratividade Normal;Auditar Frete;Pendente;76,35;Adulto
Lucratividade Normal;Frete OK;25;141,4;Adulto
Alta Lucratividade;Frete OK;Pendente;1769,4;Adulto
Alta Lucratividade;Frete OK;12;1383,6;Adulto
Alta Lucratividade;Frete OK;Pendente;438,048;Jovem
Alta Lucratividade;Frete OK;Pendente;1690;Adulto
Alta Lucratividade;Frete OK;23;554,952;Adulto
Lucratividade Normal;Auditar Frete;Pendente;37,639;Adulto
Lucratividade Normal;Auditar Frete;9;52,776;Adulto
Alta Lucratividade;Frete OK;Pendente;313,412;Jovem
Lucratividade Normal;Auditar Frete;Pendente;105;Adulto
Lucratividade Normal;Frete OK;6;48,552;Adulto
Alta Lucratividade;Frete OK;21;524,552;Adulto
Alta Lucratividade;Frete OK;8;474,05;Adulto
Lucratividade Normal;Frete OK;8;199,692;Adulto
Lucratividade Normal;Frete OK;4;51,323;Adulto
Lucratividade Normal;Auditar Frete;21;12,276;Adulto
Alta Lucratividade;Frete OK;Pendente;571,472;Jovem
Lucratividade Normal;Frete OK;Pendente;155,16;Jovem
Lucratividade Normal;Frete OK;15;70,794;Jovem
Lucratividade Normal;Auditar Frete;Pendente;85,6;Jovem
Alta Lucratividade;Frete OK;Pendente;2322;Adulto
Alta Lucratividade;Frete OK;10;1754,5;Adulto
Alta Lucratividade;Frete OK;Pendente;645,57;Adulto
Lucratividade Normal;Frete OK;25;149,8;Jovem
Lucratividade Normal;Frete OK;10;37,53;Adulto
Alta Lucratividade;Frete OK;16;1796,4;Adulto
Alta Lucratividade;Frete OK;Pendente;466,884;Jovem
Alta Lucratividade;Frete OK;22;426,222;Adulto
Alta Lucratividade;Frete OK;Pendente;492,966;Adulto
Lucratividade Normal;Frete OK;Pendente;215,82;Jovem
Lucratividade Normal;Frete OK;Pendente;184,28;Jovem
Alta Lucratividade;Frete OK;7;772,48;Jovem
Lucratividade Normal;Auditar Frete;Pendente;11,22;Adulto
Alta Lucratividade;Frete OK;11;260,376;Adulto
Lucratividade Normal;Frete OK;Pendente;148,35;Adulto
Lucratividade Normal;Auditar Frete;Pendente;87,4;Adulto
Alta Lucratividade;Frete OK;Pendente;565,2;Adulto
Alta Lucratividade;Frete OK;Pendente;563,15;Adulto
Alta Lucratividade;Frete OK;Pendente;226,944;Adulto
Alta Lucratividade;Frete OK;21;240,624;Adulto
Lucratividade Normal;Auditar Frete;7;14,904;Jovem
Alta Lucratividade;Frete OK;19;1408,4;Adulto
Alta Lucratividade;Frete OK;Pendente;917,51;Adulto
Alta Lucratividade;Frete OK;25;796,1;Adulto
Lucratividade Normal;Frete OK;Pendente;272,25;Adulto
Alta Lucratividade;Frete OK;Pendente;405,517;Adulto
Alta Lucratividade;Frete OK;23;888;Adulto
Lucratividade Normal;Frete OK;Pendente;125,528;Jovem
Lucratividade Normal;Frete OK;13;249,48;Adulto
Lucratividade Normal;Frete OK;4;23,4;Adulto
Lucratividade Normal;Auditar Frete;Pendente;15,246;Adulto
Lucratividade Normal;Frete OK;7;275,1;Adulto
Alta Lucratividade;Frete OK;17;544,816;Adulto
Lucratividade Normal;Auditar Frete;18;17,784;Adulto
Alta Lucratividade;Frete OK;Pendente;583,205;Adulto
Lucratividade Normal;Frete OK;3;139,4;Adulto
Alta Lucratividade;Frete OK;5;832,58;Jovem
Alta Lucratividade;Frete OK;Pendente;333,828;Adulto
Lucratividade Normal;Frete OK;3;93,1;Adulto
Lucratividade Normal;Auditar Frete;Pendente;13,968;Adulto
Alta Lucratividade;Frete OK;9;418,86;Jovem
Alta Lucratividade;Frete OK;3;289,224;Jovem
Lucratividade Normal;Frete OK;Pendente;44,536;Jovem
Lucratividade Normal;Frete OK;16;68,85;Adulto
Lucratividade Normal;Frete OK;18;201,15;Adulto
Alta Lucratividade;Frete OK;Pendente;686,016;Adulto
Lucratividade Normal;Auditar Frete;Pendente;29,488;Jovem
Alta Lucratividade;Frete OK;Pendente;959,35;Adulto
Alta Lucratividade;Frete OK;Pendente;370,056;Adulto
Lucratividade Normal;Frete OK;Pendente;347,4;Adulto
Lucratividade Normal;Frete OK;6;216,258;Adulto
Alta Lucratividade;Frete OK;18;589,05;Adulto
Alta Lucratividade;Frete OK;Pendente;898,65;Adulto
Lucratividade Normal;Frete OK;Pendente;118,44;Adulto
Lucratividade Normal;Frete OK;Pendente;363,885;Adulto
Lucratividade Normal;Frete OK;Pendente;616,8;Adulto
Lucratividade Normal;Auditar Frete;24;114,1;Adulto
Lucratividade Normal;Frete OK;22;43,548;Adulto
Lucratividade Normal;Frete OK;Pendente;335,236;Adulto
Alta Lucratividade;Frete OK;Pendente;369,54;Adulto
Lucratividade Normal;Frete OK;6;104,176;Adulto
Alta Lucratividade;Frete OK;24;1655,15;Jovem
Lucratividade Normal;Frete OK;5;255;Jovem
Lucratividade Normal;Frete OK;Pendente;157,896;Adulto
Alta Lucratividade;Frete OK;22;331,93;Adulto
Lucratividade Normal;Auditar Frete;6;44,1;Adulto
Lucratividade Normal;Frete OK;16;72,59;Adulto
Lucratividade Normal;Frete OK;25;64,26;Adulto
Alta Lucratividade;Frete OK;6;691,254;Adulto
Lucratividade Normal;Frete OK;11;165,034;Adulto
Alta Lucratividade;Frete OK;Pendente;1686,5;Adulto
Lucratividade Normal;Auditar Frete;20;42,415;Adulto
Alta Lucratividade;Frete OK;Pendente;1462,2;Adulto
Lucratividade Normal;Frete OK;Pendente;436,5;Jovem
Alta Lucratividade;Frete OK;Pendente;705,717;Adulto
Alta Lucratividade;Frete OK;Pendente;460,56;Adulto
Lucratividade Normal;Frete OK;20;169,796;Adulto
Lucratividade Normal;Frete OK;21;119,232;Adulto
Lucratividade Normal;Frete OK;23;44,85;Jovem
Alta Lucratividade;Frete OK;11;215,136;Adulto
Alta Lucratividade;Frete OK;Pendente;1066;Jovem
Lucratividade Normal;Frete OK;12;174,204;Adulto
Lucratividade Normal;Frete OK;Pendente;86,488;Adulto
Lucratividade Normal;Frete OK;4;283,7;Adulto
Alta Lucratividade;Frete OK;7;1797,5;Jovem
Lucratividade Normal;Frete OK;Pendente;269,076;Adulto
Alta Lucratividade;Frete OK;Pendente;238,14;Jovem
Alta Lucratividade;Frete OK;20;398,145;Jovem
Alta Lucratividade;Frete OK;3;680,1;Adulto
Lucratividade Normal;Frete OK;4;81,3;Adulto
Lucratividade Normal;Frete OK;Pendente;83,068;Adulto
Lucratividade Normal;Frete OK;Pendente;97,432;Adulto
Alta Lucratividade;Frete OK;Pendente;472,311;Adulto
Lucratividade Normal;Frete OK;Pendente;185,82;Jovem
Alta Lucratividade;Frete OK;Pendente;502,512;Adulto
Lucratividade Normal;Frete OK;Pendente;249,492;Jovem
Lucratividade Normal;Frete OK;8;183,25;Adulto
Alta Lucratividade;Frete OK;5;345,99;Jovem
Lucratividade Normal;Auditar Frete;21;34,7;Adulto
Alta Lucratividade;Frete OK;17;521,748;Adulto
Alta Lucratividade;Frete OK;Pendente;960;Adulto
Lucratividade Normal;Frete OK;Pendente;79,632;Adulto
Lucratividade Normal;Frete OK;5;240,408;Adulto
Lucratividade Normal;Auditar Frete;Pendente;16,146;Adulto
Lucratividade Normal;Auditar Frete;4;33,235;Adulto
Alta Lucratividade;Frete OK;17;387,09;Adulto
Lucratividade Normal;Frete OK;16;26,752;Adulto
Lucratividade Normal;Frete OK;25;91,188;Adulto
Lucratividade Normal;Frete OK;23;79,021;Jovem
Lucratividade Normal;Auditar Frete;Pendente;19,176;Adulto
Lucratividade Normal;Frete OK;Pendente;250,236;Adulto
Lucratividade Normal;Frete OK;Pendente;213,066;Adulto
Lucratividade Normal;Frete OK;Pendente;237,6;Adulto
Lucratividade Normal;Frete OK;19;191,862;Adulto
Alta Lucratividade;Frete OK;Pendente;516,528;Adulto
Lucratividade Normal;Frete OK;19;162,792;Adulto
Lucratividade Normal;Frete OK;2;86,925;Jovem
Alta Lucratividade;Frete OK;Pendente;280,896;Adulto
Alta Lucratividade;Frete OK;Pendente;684,216;Jovem
Lucratividade Normal;Frete OK;Pendente;196,182;Adulto
Alta Lucratividade;Frete OK;20;739,67;Adulto
Alta Lucratividade;Frete OK;Pendente;692,8;Adulto
Lucratividade Normal;Frete OK;19;17,29;Adulto
Alta Lucratividade;Frete OK;Pendente;257,652;Adulto
Lucratividade Normal;Frete OK;25;163,116;Adulto
Lucratividade Normal;Frete OK;6;44,88;Jovem
Alta Lucratividade;Frete OK;Pendente;1030,8;Adulto
Lucratividade Normal;Frete OK;Pendente;432,9;Adulto
Alta Lucratividade;Frete OK;10;687,05;Adulto
Lucratividade Normal;Frete OK;7;153,544;Adulto
Alta Lucratividade;Frete OK;Pendente;636,12;Adulto
Alta Lucratividade;Frete OK;Pendente;1173,3;Adulto
Lucratividade Normal;Auditar Frete;23;33,668;Adulto
Alta Lucratividade;Frete OK;24;607,176;Adulto
Lucratividade Normal;Frete OK;Pendente;454,65;Adulto
Alta Lucratividade;Frete OK;21;244,872;Adulto
Lucratividade Normal;Frete OK;Pendente;107,008;Adulto
Lucratividade Normal;Frete OK;Pendente;61,2;Adulto
Alta Lucratividade;Frete OK;Pendente;324,394;Adulto
Lucratividade Normal;Frete OK;Pendente;256,5;Adulto
Lucratividade Normal;Frete OK;5;511,2;Adulto
Lucratividade Normal;Auditar Frete;18;12,478;Adulto
Lucratividade Normal;Frete OK;15;141,816;Jovem
Lucratividade Normal;Frete OK;Pendente;328,5;Adulto
Alta Lucratividade;Frete OK;3;601,35;Adulto
Lucratividade Normal;Auditar Frete;Pendente;65,55;Adulto
Lucratividade Normal;Frete OK;6;243;Adulto
Lucratividade Normal;Frete OK;3;31,05;Adulto
Alta Lucratividade;Frete OK;Pendente;343,216;Adulto
Lucratividade Normal;Frete OK;19;110,448;Jovem
Lucratividade Normal;Frete OK;Pendente;64,838;Adulto
Alta Lucratividade;Frete OK;Pendente;533,52;Adulto
Lucratividade Normal;Frete OK;9;79,47;Adulto
Alta Lucratividade;Frete OK;18;291,555;Adulto
Lucratividade Normal;Frete OK;Pendente;89,756;Adulto
Lucratividade Normal;Frete OK;Pendente;346,885;Adulto
Lucratividade Normal;Frete OK;Pendente;189,55;Adulto
Lucratividade Normal;Frete OK;5;144,036;Adulto
Lucratividade Normal;Frete OK;Pendente;152,928;Adulto
